v8-version,6,1,534,50,0
code-creation,Builtin,5,7476,0x31830b34f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,7482,0x31830b34fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,7489,0x31830b350240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,7495,0x31830b350440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,7502,0x31830b350820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,7508,0x31830b350900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,7515,0x31830b350d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,7521,0x31830b351100,134,"Illegal"
code-creation,Builtin,5,7528,0x31830b3511a0,134,"ObjectAssign"
code-creation,Builtin,5,7534,0x31830b351240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,7541,0x31830b3512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,7547,0x31830b351380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,7554,0x31830b351420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,7561,0x31830b3514c0,134,"ObjectIs"
code-creation,Builtin,5,7567,0x31830b351560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,7574,0x31830b351600,134,"ObjectSeal"
code-creation,Builtin,5,7580,0x31830b3516a0,972,"ObjectCreate"
code-creation,Builtin,5,7598,0x31830b351a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,7604,0x31830b351b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,7611,0x31830b351bc0,134,"ObjectFreeze"
code-creation,Builtin,5,7618,0x31830b351c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,7624,0x31830b351d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,7645,0x31830b351da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,7651,0x31830b351e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,7658,0x31830b351ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,7673,0x31830b351f80,640,"ObjectKeys"
code-creation,Builtin,5,7680,0x31830b352200,134,"ObjectEntries"
code-creation,Builtin,5,7687,0x31830b3522a0,134,"ObjectValues"
code-creation,Builtin,5,7695,0x31830b352340,134,"ObjectDefineGetter"
code-creation,Builtin,5,7702,0x31830b3523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,7709,0x31830b352480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,7716,0x31830b352d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,7723,0x31830b352da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,7730,0x31830b352e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,7738,0x31830b352f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,7745,0x31830b353020,880,"ObjectProtoToString"
code-creation,Builtin,5,7752,0x31830b3533a0,139,"ObjectPrototypeValueOf"
